bucket_delta,bucket_Dt,SSE,MSE
"(0.05, 0.15]","(14.999, 267.143]",12833.339741005875,2.4832313740336445
"(0.05, 0.15]","(267.143, 519.286]",1107.7029744187148,1.7582586895535155
"(0.05, 0.15]","(519.286, 771.429]",372.35614153249674,3.615108170218415
"(0.05, 0.15]","(771.429, 1023.571]",0.0,0.0
"(0.05, 0.15]","(1023.571, 1275.714]",1580.181834267188,16.124304431297837
"(0.05, 0.15]","(1275.714, 1527.857]",1020.8791151982173,6.851537685894075
"(0.05, 0.15]","(1527.857, 1780.0]",732.3255573688589,7.62839122259228
"(0.15, 0.25]","(14.999, 267.143]",32024.579728581477,6.751967052199341
"(0.15, 0.25]","(267.143, 519.286]",2285.1434836000635,4.69228641396317
"(0.15, 0.25]","(519.286, 771.429]",559.2980212984787,9.020935827394817
"(0.15, 0.25]","(771.429, 1023.571]",0.0,0.0
"(0.15, 0.25]","(1023.571, 1275.714]",7566.975857252644,99.56547180595585
"(0.15, 0.25]","(1275.714, 1527.857]",903.793385535886,16.432607009743382
"(0.15, 0.25]","(1527.857, 1780.0]",1251.610458508604,31.2902614627151
"(0.25, 0.35]","(14.999, 267.143]",54177.188672978475,10.757980276604146
"(0.25, 0.35]","(267.143, 519.286]",4476.3885260743045,7.717911251852249
"(0.25, 0.35]","(519.286, 771.429]",619.2711620067081,13.175982170355491
"(0.25, 0.35]","(771.429, 1023.571]",0.0,0.0
"(0.25, 0.35]","(1023.571, 1275.714]",2607.3920719014645,43.45653453169108
"(0.25, 0.35]","(1275.714, 1527.857]",1990.266680927361,29.268627660696485
"(0.25, 0.35]","(1527.857, 1780.0]",2001.2592323025012,39.240377103970616
"(0.35, 0.45]","(14.999, 267.143]",73889.59445296168,13.349520226370675
"(0.35, 0.45]","(267.143, 519.286]",6755.519785724262,9.595908786540145
"(0.35, 0.45]","(519.286, 771.429]",762.7328875592215,17.334838353618668
"(0.35, 0.45]","(771.429, 1023.571]",0.0,0.0
"(0.35, 0.45]","(1023.571, 1275.714]",1482.0725844998442,25.5529755948249
"(0.35, 0.45]","(1275.714, 1527.857]",5148.163192027426,73.54518845753465
"(0.35, 0.45]","(1527.857, 1780.0]",4675.844496094093,101.64879339334985
"(0.45, 0.55]","(14.999, 267.143]",90844.88061495929,14.563142131285554
"(0.45, 0.55]","(267.143, 519.286]",8710.215271406349,10.901395834050499
"(0.45, 0.55]","(519.286, 771.429]",704.6607127079825,15.659126949066279
"(0.45, 0.55]","(771.429, 1023.571]",0.0,0.0
"(0.45, 0.55]","(1023.571, 1275.714]",3211.627924898342,55.37289525686796
"(0.45, 0.55]","(1275.714, 1527.857]",3401.3254573403824,47.90599235690679
"(0.45, 0.55]","(1527.857, 1780.0]",2867.3875144979165,79.64965318049768
"(0.55, 0.65]","(14.999, 267.143]",102478.69943015906,14.096107211851315
"(0.55, 0.65]","(267.143, 519.286]",12637.742824405042,12.175089426209096
"(0.55, 0.65]","(519.286, 771.429]",1073.8969096116455,20.26220584172916
"(0.55, 0.65]","(771.429, 1023.571]",0.0,0.0
"(0.55, 0.65]","(1023.571, 1275.714]",2435.7674403224264,38.05886625503791
"(0.55, 0.65]","(1275.714, 1527.857]",4601.380470453355,62.180817168288584
"(0.55, 0.65]","(1527.857, 1780.0]",4217.0195099811535,100.4052264281227
"(0.65, 0.75]","(14.999, 267.143]",113251.37690183986,12.677865991474293
"(0.65, 0.75]","(267.143, 519.286]",16367.595276838667,12.561469897804042
"(0.65, 0.75]","(519.286, 771.429]",1516.99795962425,23.703093119128905
"(0.65, 0.75]","(771.429, 1023.571]",0.0,0.0
"(0.65, 0.75]","(1023.571, 1275.714]",3687.10256690555,47.8844489208513
"(0.65, 0.75]","(1275.714, 1527.857]",6044.342168667851,67.91395695132417
"(0.65, 0.75]","(1527.857, 1780.0]",9225.789744060243,101.3823048797829
"(0.75, 0.85]","(14.999, 267.143]",128723.53264936371,10.96919749888059
"(0.75, 0.85]","(267.143, 519.286]",22015.980709705917,12.217525366096513
"(0.75, 0.85]","(519.286, 771.429]",2536.2992297388596,30.19403844927214
"(0.75, 0.85]","(771.429, 1023.571]",0.0,0.0
"(0.75, 0.85]","(1023.571, 1275.714]",11360.386712484584,114.75138093418771
"(0.75, 0.85]","(1275.714, 1527.857]",8074.49033559181,74.76379940362787
"(0.75, 0.85]","(1527.857, 1780.0]",20599.598080984226,173.1058662267582
"(0.85, 0.95]","(14.999, 267.143]",187139.78714647898,10.456489196316644
"(0.85, 0.95]","(267.143, 519.286]",37881.574872688936,11.489710304121607
"(0.85, 0.95]","(519.286, 771.429]",2864.70199165742,23.29026009477577
"(0.85, 0.95]","(771.429, 1023.571]",0.0,0.0
"(0.85, 0.95]","(1023.571, 1275.714]",5620.837324577472,60.439111016962066
"(0.85, 0.95]","(1275.714, 1527.857]",8647.476853739425,79.33465003430665
"(0.85, 0.95]","(1527.857, 1780.0]",41680.87457111896,218.2244741943401
